id,created_at,text
367477455373991936,2013-08-14 02:47:07,Audio: Toledo Police code 3 (emergency response) weapons call at 300 block E Woodruff Ave from 08/13/2013 at... http://t.co/od78YNiqCZ
367476535281725440,2013-08-14 02:43:28,"TPD - code 3 weapons call, 300 block e woodruff ave, male caller says female tried to cut him with a knife"
367474690941407232,2013-08-14 02:36:08,"TFD - injuries from an assault, 324 s detroit ave, assist police on scene, engine 21's company"
367474257271324672,2013-08-14 02:34:24,"@natilieofficial found it, was an injury accident near that intersection, with few stations and some extra units needed"
367473013807009792,2013-08-14 02:29:28,"@natilieofficial not sure, dont listen much in daytime, and if not big enough to be on the news; about what time, i can review some logs"
367472457487495168,2013-08-14 02:27:15,Audio: Toledo Police code 3 (emergency response) weapons call at 324 S Detroit Ave from 08/13/2013 at 10:19... http://t.co/s2OYJqrxX3
367471134825910273,2013-08-14 02:22:00,"TPD - crews may of had another in custody from western ave area shooting, have two vehicles hit, looking at some video of the incident"
367470741400199168,2013-08-14 02:20:26,"TPD - code 3 weapons call, 324 s detroit ave at the sunoco station, caller reports a male with a knife that is threatening to rob location"
367469505288482817,2013-08-14 02:15:32,"TPD - crews reporting a good drive by shooting and other party retaliated, multiple shots exchanged, nobody injured, still rounding folks up"
367468781733310464,2013-08-14 02:12:39,"TPD - multiple crews in foot pursuit, have two in custody garland ave, looking for one remaining hispanic male"
367467581117972480,2013-08-14 02:07:53,"TPD - air closed for crews out on western ave, have people running through back yards and jumping fences, headed towards eastern ave"
367466743569977344,2013-08-14 02:04:33,"TPD - also report of a car that drove by and fired shots from courtland ave and western ave, additional crews headed that way"
367466437129940992,2013-08-14 02:03:20,"TPD - immediate response shots fired, 300 block western ave near boody st, hispanic male fired off 10 shots, group went back inside"
367465609602555904,2013-08-14 02:00:03,"TPD - fight, 1800 block w bancroft st near joffre ave, report of 20 people fighting at the foot mart"
367463437284044800,2013-08-14 01:51:25,"TPD - immediate response weapons call, 3500 block hilltop blvd near n byrne rd, two males arguing, one pulled out a gun"
367462214011068416,2013-08-14 01:46:33,TPD - gang unit crews and sector crew checking on group of about 15 people in the macomber st and isherwood st area
367459988236537856,2013-08-14 01:37:42,"TPD/TFD/EMS - code 3 attempt, 1101 south ave at church's chicken, with engine 9 and life squad 4"
367456936045715457,2013-08-14 01:25:35,"TPD/TFD/EMS - code 3 overdose, 5500 block talmadge rd, with engine 23 and life squad 3"
367456217205342208,2013-08-14 01:22:43,Toledo Scanner Daily is out! http://t.co/xX5qVs5jhI ▸ Top stories today via @ProvFireVideos @KGFranck_Blade @flytol
367454438765498368,2013-08-14 01:15:39,"@Eszcz a 'code 3' dispatch is an emergency response with lights and siren, as opposed to a less emergent code 2 immediate response"
367119066403569664,2013-08-13 03:03:00,"TPD/TFD - code 3 injury accident, e alexis rd and hagman rd"
367114598186360832,2013-08-13 02:45:15,"TPD/TFD/EMS - injury accident, I-75 southbound near e alexis rd exit, semi versus car, person trapped, with life squad 3"
367097026434969601,2013-08-13 01:35:26,"@ND419 did see that pd/fd/ems had an attempted suicide call west from there off secor rd just after 9pm, executive pkwy at red roof inn"
367096227457806336,2013-08-13 01:32:15,RT @ND419: @ToledoScanner any idea of what happened in the Douglas/sylvania area around 9pm tonight ? - not sure on that location
367093832862949377,2013-08-13 01:22:44,Toledo Scanner Daily is out! http://t.co/xX5qVs5jhI ▸ Top stories today via @Toledocom @BreakingNewzman @ToledoOHNews
366731440912105472,2013-08-12 01:22:43,Toledo Scanner Daily is out! http://t.co/xX5qVs5jhI ▸ Top stories today via @Britt_lee98 @AutulloBlade @georgio622
366429454811152386,2013-08-11 05:22:44,"TPD - immediate response weapons call, columbia st and warren st, 3 black males on bikes with guns"
366426425126957057,2013-08-11 05:10:42,"TPD - now getting reports of 20 to 50 people fighting, 5000 block norwich rd"
366425654633316352,2013-08-11 05:07:38,"TPD - gunshots heard, 1300 block mott ave near maryland ave"
366425305075810304,2013-08-11 05:06:15,"TPD - disorder, 105 17th st at the cherry street mission, unwanted male yelling at everyone"
366423478439641088,2013-08-11 04:58:59,"EMS - mercy st vincent hospital toledo is reporting to be on ems, trauma and peds bypass"
366422577662537728,2013-08-11 04:55:24,"TPD - fight, 5000 block norwich rd, group of people fighting"
366421784427380736,2013-08-11 04:52:15,"TPD - code 3 residential breaking &amp; entering, 1900 block genesee st near consaul st, known hispanic female trying to break in the front door"
366420822291779584,2013-08-11 04:48:26,"TPD - code 3 breaking &amp; entering, 1600 block nevada st, black male trying to break in to the location"
366420612723384321,2013-08-11 04:47:36,EMS - life squad to 500 block plymouth st to assist police on a heart problem
366418839480705024,2013-08-11 04:40:33,RT @bestthereizz: That #toledoscanner is something serious tonight.
366418793817321473,2013-08-11 04:40:22,"TPD - command unit has one running from plymouth st area, in foot pursuit"
366418149173760001,2013-08-11 04:37:49,"TPD - fight, broadway st and orchard st"
366417385495867392,2013-08-11 04:34:47,TPD - crews on foot pursuit from 500 block plymouth st
366415654158475264,2013-08-11 04:27:54,"TPD/TFD - assault, 3100 block chase st, 4 people assaulting 1 with a 2x4, medical also enroute"
